"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
2511|Antimony as Sb - total|MGL|Milligrams/Litre|Antimony as Sb - total (Milligrams/Litre||0|0|0|.00001
2511.2|Antimony as Sb - total|MGL|Milligrams/Litre|Antimony as Sb - total (Milligrams/Litre||0|0|2|.00001
2521|Arsenic as As - total|MGL|Milligrams/Litre|Arsenic as As - total (Milligrams/Litre)||0|0|0|.00001
2521.01|Arsenic as As - total (lower LOR)|MGL|Milligrams/Litre|Arsenic soluble|GFAAS|.005|.05|5|.00001
2521.02|Arsenic as Ar - total (finer LOR)|MGL|Milligrams/Litre|Arsenic|ICP-MS|0|0|4|.00001
2521.2|Arsenic as As - total|MGL|Milligrams/Litre|Arsenic as As - total (Milligrams/Litre)||0|0|2|.00001
2522.02|Arsenic as Ar - soluble (finer LOR)|MGL|Milligrams/Litre|Arsenic Dissolved|ICP-MS|0|0|4|.00001
2524|Arsenic as As - total ug/L|UT|Micrograms/Litre|Arsenic as As - total (Micrograms/Litre)||0|0|3|.00001
2531|Barium as Ba - total|MGL|Milligrams/Litre|Barium as Ba - total (Milligrams/Litre)||0|0|0|.00001
2532|Barium as Ba - soluble|MGL|Milligrams/Litre|Barium as Ba - soluble (Milligrams/Litre||0|0|0|.00001
2540|Beryllium - total|MGL|Milligrams/Litre|Beryllium - total (Milligrams/Litre)||0|0|5|.00001
2540.2|Beryllium - total|MGL|Milligrams/Litre|Beryllium - total (Milligrams/Litre)|Previously incorrectly named as Bismuth as Bi - total|0|0|5|.00001
2541.2|Bismuth as Bi - total|MGL|Milligrams/Litre|Bismuth as Bi - total (Milligrams/Litre)||0|0|2|.00001
2561|Bromide as Br|MGL|Milligrams/Litre|Bromide as Br (Milligrams/Litre)||0|0|0|.00001
2561.2|Bromide as Br|MGL|Milligrams/Litre|Bromide as Br (Milligrams/Litre)||0|0|0|.00001
2571|Cadmium as Cd - total|MGL|Milligrams/Litre|Cadmium as Cd - total (Milligrams/Litre)||0|0|0|.00001
2571.01|Cadmium as Cd - total (lower LOR)|MGL|Milligrams/Litre|Cadimum Total|ICPAES|0|0|3|.00001
2571.02|Cadmium as Cd - total (finer LOR)|MGL|Milligrams/Litre|Cadmium|ICP-MS|0|0|4|.00001
2571.2|Cadmium as Cd - total|MGL|Milligrams/Litre|Cadmium as Cd - total (Milligrams/Litre)||0|0|0|.00001
2572|Cadmium as Cd - soluble|MGL|Milligrams/Litre|Cadmium as Cd - soluble (Milligrams/Litr||0|0|0|.00001
2572.02|Cadmium as Cd - soluble (finer LOR)|MGL|Milligrams/Litre|Cadmium Dissolved|ICP-MS|0|0|4|.00001
2574|Cadmium as Cd - total|UT|Micrograms/Litre|Cadmium as Cd total (ug/L)||0|0|1|.00001
